Fensternummer;Gebäude;Etage;Raum;Raumnummer;Status;Hersteller;Beschlagsystem;Baujahr;Breite_mm;Höhe_mm;Mangel;Dringend;Fortschritt;Bewertung
F-0312;Technisches Zentrum;Untergeschoss;Bibliothek;TZ-001;nicht zugaenglich;GU (Gretsch-Unitas);Maco Multi-Matic;1992;2379;1456;Nein;Nein;0%;
F-0313;Technisches Zentrum;Untergeschoss;Lager;TZ-002;nicht begonnen;Roto Frank;Siegenia Titan AF;2003;716;1197;Nein;Nein;0%;
F-0314;Technisches Zentrum;Untergeschoss;Flur;TZ-003;Spezialpruefung erforderlich;Schüco;Roto NT;2003;1390;1585;Nein;Nein;0%;
F-0315;Technisches Zentrum;Untergeschoss;Flur;TZ-003;Spezialpruefung erforderlich;Winkhaus;Roto NX;2008;1421;1934;Nein;Nein;0%;
F-0316;Technisches Zentrum;Untergeschoss;Flur;TZ-003;Spezialpruefung erforderlich;Roto Frank;Maco Multi-Matic;2018;1609;2106;Nein;Nein;0%;
F-0317;Technisches Zentrum;Untergeschoss;Poststelle;TZ-005;nicht zugaenglich;Maco;Maco Multi-Matic;2020;695;1945;Nein;Nein;0%;
F-0318;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-101;in Bearbeitung;Siegenia-Aubi;Roto NX;2005;861;1023;Nein;Nein;74%;
F-0319;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-101;freigegeben;GU (Gretsch-Unitas);Schüco AvanTec;1998;2323;1540;Nein;Nein;100%;ohne Beanstandung
F-0320;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-101;fachlich geprueft;Siegenia-Aubi;GU UNI-JET;1998;1815;1802;Nein;Nein;100%;Austausch empfohlen
F-0321;Technisches Zentrum;Erdgeschoss;Serverraum;TZ-102;Spezialpruefung erforderlich;Maco;Schüco AvanTec;2020;1965;1248;Nein;Nein;0%;
F-0322;Technisches Zentrum;Erdgeschoss;Lager;TZ-103;in Bearbeitung;Schüco;GU UNI-JET;2008;2046;1111;Nein;Nein;71%;
F-0323;Technisches Zentrum;Erdgeschoss;Lager;TZ-103;freigegeben;Maco;Roto NT;1990;1215;822;Ja;Nein;100%;Gefahr im Verzug
F-0324;Technisches Zentrum;Erdgeschoss;Lager;TZ-103;nicht zugaenglich;Siegenia-Aubi;GU UNI-JET;2005;2258;1062;Nein;Nein;0%;
F-0325;Technisches Zentrum;Erdgeschoss;Lager;TZ-103;nicht begonnen;Maco;Siegenia Titan AF;1995;1431;1157;Ja;Nein;0%;
F-0326;Technisches Zentrum;Erdgeschoss;Archiv;TZ-104;Pruefung abgeschlossen;Schüco;Roto NT;2005;881;1931;Nein;Nein;100%;geringfügiger Mangel
F-0327;Technisches Zentrum;Erdgeschoss;Druckerraum;TZ-105;freigegeben;Roto Frank;Maco Multi-Matic;2000;2282;1136;Nein;Nein;100%;erheblicher Mangel
F-0328;Technisches Zentrum;Erdgeschoss;Druckerraum;TZ-105;Spezialpruefung erforderlich;Schüco;Roto NT;2018;1984;2092;Nein;Nein;0%;
F-0329;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-106;Spezialpruefung erforderlich;Roto Frank;Roto NT;1990;2347;2147;Nein;Nein;0%;
F-0330;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-106;Spezialpruefung erforderlich;Winkhaus;Siegenia Titan AF;2012;1692;997;Nein;Nein;0%;
F-0331;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-106;freigegeben;Maco;Roto NX;1992;1492;1751;Nein;Nein;100%;ohne Beanstandung
F-0332;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-108;freigegeben;Maco;Schüco AvanTec;1998;1700;1839;Nein;Nein;100%;erheblicher Mangel
F-0333;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-108;nicht zugaenglich;Weru;Roto NT;1998;711;2041;Nein;Nein;0%;
F-0334;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-108;nicht begonnen;Roto Frank;Siegenia Titan AF;2018;1651;1058;Ja;Nein;0%;
F-0335;Technisches Zentrum;Erdgeschoss;Poststelle;TZ-108;in Bearbeitung;Weru;Schüco AvanTec;2008;1617;876;Nein;Nein;75%;
F-0336;Technisches Zentrum;Erdgeschoss;Büro;TZ-110;Pruefung abgeschlossen;Weru;Siegenia Titan AF;2012;2329;1824;Nein;Nein;100%;Austausch empfohlen
F-0337;Technisches Zentrum;Erdgeschoss;Empfang;TZ-111;nicht begonnen;Siegenia-Aubi;Maco Multi-Matic;2003;1680;1654;Ja;Nein;0%;
F-0338;Technisches Zentrum;1. Obergeschoss;Sanitär;TZ-201;Spezialpruefung erforderlich;Weru;GU UNI-JET;2012;1421;1297;Nein;Nein;0%;
F-0339;Technisches Zentrum;1. Obergeschoss;Sanitär;TZ-201;fachlich geprueft;Maco;Roto NX;2008;2201;1051;Nein;Nein;100%;
F-0340;Technisches Zentrum;1. Obergeschoss;Teeküche;TZ-202;in Bearbeitung;Schüco;Winkhaus activPilot;1995;2243;1566;Nein;Nein;70%;
F-0341;Technisches Zentrum;1. Obergeschoss;Teeküche;TZ-202;Pruefung abgeschlossen;GU (Gretsch-Unitas);Maco Multi-Matic;2012;1353;1872;Nein;Nein;100%;
F-0342;Technisches Zentrum;1. Obergeschoss;Teeküche;TZ-202;Spezialpruefung erforderlich;Maco;Roto NT;1995;853;1662;Ja;Nein;0%;
F-0343;Technisches Zentrum;1. Obergeschoss;Teeküche;TZ-202;in Bearbeitung;Weru;Roto NT;1985;1095;2079;Nein;Nein;72%;
F-0344;Technisches Zentrum;1. Obergeschoss;Teeküche;TZ-204;nicht zugaenglich;GU (Gretsch-Unitas);Roto NT;2008;1620;1235;Nein;Nein;0%;
F-0345;Technisches Zentrum;1. Obergeschoss;Besprechungsraum;TZ-205;Pruefung abgeschlossen;Weru;Maco Multi-Matic;2018;2043;874;Nein;Nein;100%;Austausch empfohlen
F-0346;Technisches Zentrum;1. Obergeschoss;Besprechungsraum;TZ-205;fachlich geprueft;Weru;Siegenia Titan AF;2015;708;2029;Nein;Nein;100%;
F-0347;Technisches Zentrum;1. Obergeschoss;Besprechungsraum;TZ-205;fachlich geprueft;Maco;Siegenia Titan AF;1985;1875;1735;Nein;Nein;100%;Austausch empfohlen
F-0348;Technisches Zentrum;1. Obergeschoss;Besprechungsraum;TZ-205;Spezialpruefung erforderlich;Maco;Maco Multi-Matic;2008;1680;1429;Nein;Nein;0%;
F-0349;Technisches Zentrum;1. Obergeschoss;Lager;TZ-206;freigegeben;GU (Gretsch-Unitas);Siegenia Titan AF;2000;1978;1251;Nein;Nein;100%;ohne Beanstandung
F-0350;Technisches Zentrum;1. Obergeschoss;Lager;TZ-206;fachlich geprueft;Roto Frank;Schüco AvanTec;2010;1449;877;Nein;Nein;100%;ohne Beanstandung
F-0351;Technisches Zentrum;1. Obergeschoss;Lager;TZ-207;freigegeben;Siegenia-Aubi;Schüco AvanTec;2012;1269;1458;Nein;Nein;100%;
F-0352;Technisches Zentrum;1. Obergeschoss;Lager;TZ-207;fachlich geprueft;Schüco;Roto NT;1985;1233;1213;Nein;Nein;100%;
F-0353;Technisches Zentrum;1. Obergeschoss;Druckerraum;TZ-208;freigegeben;Winkhaus;Winkhaus activPilot;2012;1523;1293;Nein;Nein;100%;geringfügiger Mangel
F-0354;Technisches Zentrum;1. Obergeschoss;Archiv;TZ-209;freigegeben;Maco;Winkhaus activPilot;1995;1245;1669;Nein;Nein;100%;geringfügiger Mangel
F-0355;Technisches Zentrum;1. Obergeschoss;Archiv;TZ-209;in Bearbeitung;Schüco;Maco Multi-Matic;1998;2390;1351;Nein;Nein;21%;
F-0356;Technisches Zentrum;1. Obergeschoss;Archiv;TZ-210;nicht begonnen;GU (Gretsch-Unitas);Siegenia Titan AF;2008;1488;1878;Nein;Nein;0%;
F-0357;Technisches Zentrum;1. Obergeschoss;Archiv;TZ-210;nicht begonnen;Maco;Winkhaus activPilot;2012;1890;1329;Nein;Nein;0%;
F-0358;Technisches Zentrum;1. Obergeschoss;Archiv;TZ-210;freigegeben;Siegenia-Aubi;Schüco AvanTec;1992;1852;1412;Nein;Nein;100%;geringfügiger Mangel
F-0359;Technisches Zentrum;1. Obergeschoss;Poststelle;TZ-211;Pruefung abgeschlossen;Winkhaus;Maco Multi-Matic;2008;1332;1173;Nein;Nein;100%;erheblicher Mangel
F-0360;Technisches Zentrum;1. Obergeschoss;Poststelle;TZ-211;in Bearbeitung;Roto Frank;Maco Multi-Matic;2018;1810;1648;Nein;Nein;50%;
F-0361;Technisches Zentrum;1. Obergeschoss;Poststelle;TZ-211;Pruefung abgeschlossen;Siegenia-Aubi;Maco Multi-Matic;2010;1798;2188;Ja;Ja;100%;
F-0362;Technisches Zentrum;2. Obergeschoss;Lager;TZ-301;Spezialpruefung erforderlich;Maco;Roto NT;2005;1641;1340;Nein;Nein;0%;
F-0363;Technisches Zentrum;2. Obergeschoss;Flur;TZ-302;nicht begonnen;Roto Frank;Siegenia Titan AF;2018;805;1499;Nein;Nein;0%;
F-0364;Technisches Zentrum;2. Obergeschoss;Flur;TZ-302;in Bearbeitung;Siegenia-Aubi;Roto NX;2000;2339;1419;Nein;Nein;58%;
F-0365;Technisches Zentrum;2. Obergeschoss;Flur;TZ-302;freigegeben;Schüco;Maco Multi-Matic;2018;914;2179;Nein;Nein;100%;geringfügiger Mangel
F-0366;Technisches Zentrum;2. Obergeschoss;Flur;TZ-302;in Bearbeitung;Roto Frank;Siegenia Titan AF;2018;703;1400;Nein;Nein;20%;
F-0367;Technisches Zentrum;2. Obergeschoss;Flur;TZ-302;Spezialpruefung erforderlich;Winkhaus;Schüco AvanTec;2015;1567;2080;Nein;Nein;0%;
F-0368;Technisches Zentrum;2. Obergeschoss;Druckerraum;TZ-303;nicht begonnen;Winkhaus;Siegenia Titan AF;2003;803;1456;Nein;Nein;0%;
F-0369;Technisches Zentrum;2. Obergeschoss;Sanitär;TZ-304;nicht begonnen;GU (Gretsch-Unitas);Siegenia Titan AF;2018;901;1422;Nein;Nein;0%;
F-0370;Technisches Zentrum;2. Obergeschoss;Sanitär;TZ-304;freigegeben;Roto Frank;Maco Multi-Matic;2010;1906;1909;Nein;Nein;100%;erheblicher Mangel
F-0371;Technisches Zentrum;2. Obergeschoss;Flur;TZ-305;freigegeben;Maco;Siegenia Titan AF;2008;1262;1668;Nein;Nein;100%;ohne Beanstandung
F-0372;Technisches Zentrum;2. Obergeschoss;Flur;TZ-305;freigegeben;Siegenia-Aubi;Schüco AvanTec;2003;1778;1220;Nein;Nein;100%;Austausch empfohlen
F-0373;Technisches Zentrum;2. Obergeschoss;Flur;TZ-305;nicht begonnen;GU (Gretsch-Unitas);Siegenia Titan AF;1985;698;1049;Nein;Nein;0%;
F-0374;Technisches Zentrum;2. Obergeschoss;Flur;TZ-305;Spezialpruefung erforderlich;Schüco;Schüco AvanTec;2003;934;1388;Nein;Nein;0%;
F-0375;Technisches Zentrum;2. Obergeschoss;Flur;TZ-305;nicht zugaenglich;GU (Gretsch-Unitas);GU UNI-JET;1992;2285;2132;Nein;Nein;0%;
F-0376;Technisches Zentrum;2. Obergeschoss;Flur;TZ-305;nicht begonnen;Schüco;Winkhaus activPilot;2018;1891;1049;Nein;Nein;0%;
F-0377;Technisches Zentrum;2. Obergeschoss;Archiv;TZ-306;in Bearbeitung;Roto Frank;Siegenia Titan AF;1995;1457;2067;Nein;Nein;59%;
F-0378;Technisches Zentrum;2. Obergeschoss;Archiv;TZ-306;nicht begonnen;Maco;Siegenia Titan AF;1995;1612;1476;Nein;Nein;0%;
F-0379;Technisches Zentrum;2. Obergeschoss;Archiv;TZ-306;freigegeben;Maco;Roto NT;2020;1195;2066;Ja;Nein;100%;Gefahr im Verzug
F-0380;Technisches Zentrum;2. Obergeschoss;Archiv;TZ-306;nicht zugaenglich;Siegenia-Aubi;Winkhaus activPilot;2010;1272;1921;Nein;Nein;0%;
F-0381;Technisches Zentrum;2. Obergeschoss;Empfang;TZ-307;fachlich geprueft;Siegenia-Aubi;Roto NT;1985;2230;813;Nein;Nein;100%;erheblicher Mangel
F-0382;Technisches Zentrum;2. Obergeschoss;Poststelle;TZ-308;freigegeben;Siegenia-Aubi;GU UNI-JET;1995;803;2182;Nein;Nein;100%;Gefahr im Verzug
F-0383;Technisches Zentrum;2. Obergeschoss;Poststelle;TZ-308;nicht zugaenglich;GU (Gretsch-Unitas);Siegenia Titan AF;1985;1988;1307;Nein;Nein;0%;
F-0384;Technisches Zentrum;2. Obergeschoss;Poststelle;TZ-308;in Bearbeitung;Weru;Siegenia Titan AF;2010;1262;2116;Nein;Nein;42%;
F-0385;Technisches Zentrum;2. Obergeschoss;Poststelle;TZ-308;nicht begonnen;GU (Gretsch-Unitas);Maco Multi-Matic;1992;1907;1746;Nein;Nein;0%;
F-0386;Technisches Zentrum;2. Obergeschoss;Besprechungsraum;TZ-309;freigegeben;Siegenia-Aubi;GU UNI-JET;1990;1407;1744;Nein;Nein;100%;Gefahr im Verzug
F-0387;Technisches Zentrum;2. Obergeschoss;Besprechungsraum;TZ-309;nicht begonnen;Winkhaus;Siegenia Titan AF;2010;614;1885;Nein;Nein;0%;
F-0388;Technisches Zentrum;2. Obergeschoss;Besprechungsraum;TZ-309;fachlich geprueft;Weru;Schüco AvanTec;1995;1959;1203;Ja;Nein;100%;geringfügiger Mangel
F-0389;Technisches Zentrum;2. Obergeschoss;Lager;TZ-310;in Bearbeitung;Siegenia-Aubi;Roto NX;1995;2349;2141;Nein;Nein;63%;
F-0390;Technisches Zentrum;2. Obergeschoss;Lager;TZ-310;in Bearbeitung;Roto Frank;Winkhaus activPilot;2012;1809;829;Nein;Nein;41%;
F-0391;Technisches Zentrum;2. Obergeschoss;Lager;TZ-310;nicht zugaenglich;Roto Frank;Siegenia Titan AF;2012;1424;859;Nein;Nein;0%;
F-0392;Technisches Zentrum;2. Obergeschoss;Archiv;TZ-311;freigegeben;Weru;Winkhaus activPilot;2012;1665;824;Nein;Nein;100%;erheblicher Mangel
F-0393;Technisches Zentrum;2. Obergeschoss;Archiv;TZ-311;in Bearbeitung;Siegenia-Aubi;GU UNI-JET;2000;991;2189;Ja;Nein;39%;
F-0394;Technisches Zentrum;2. Obergeschoss;Archiv;TZ-311;fachlich geprueft;Weru;Maco Multi-Matic;2008;2124;2032;Nein;Nein;100%;geringfügiger Mangel
F-0395;Technisches Zentrum;3. Obergeschoss;Druckerraum;TZ-402;Pruefung abgeschlossen;Winkhaus;Maco Multi-Matic;1998;1492;1928;Nein;Nein;100%;
F-0396;Technisches Zentrum;3. Obergeschoss;Empfang;TZ-403;Pruefung abgeschlossen;Winkhaus;Schüco AvanTec;2010;2074;2027;Nein;Nein;100%;Gefahr im Verzug
F-0397;Technisches Zentrum;3. Obergeschoss;Flur;TZ-404;fachlich geprueft;Maco;Siegenia Titan AF;2003;1903;1155;Nein;Nein;100%;geringfügiger Mangel
F-0398;Technisches Zentrum;3. Obergeschoss;Flur;TZ-404;freigegeben;GU (Gretsch-Unitas);Winkhaus activPilot;2010;1234;1299;Ja;Ja;100%;ohne Beanstandung
F-0399;Technisches Zentrum;3. Obergeschoss;Flur;TZ-404;Pruefung abgeschlossen;Weru;Maco Multi-Matic;2020;1435;903;Nein;Nein;100%;ohne Beanstandung
F-0400;Technisches Zentrum;3. Obergeschoss;Flur;TZ-404;Pruefung abgeschlossen;Winkhaus;Schüco AvanTec;1992;765;1158;Nein;Nein;100%;
F-0401;Technisches Zentrum;3. Obergeschoss;Flur;TZ-404;Spezialpruefung erforderlich;Roto Frank;Maco Multi-Matic;2018;842;1080;Ja;Nein;0%;
F-0402;Technisches Zentrum;3. Obergeschoss;Flur;TZ-404;in Bearbeitung;Schüco;Maco Multi-Matic;1992;1107;1306;Nein;Nein;71%;
F-0403;Technisches Zentrum;3. Obergeschoss;Büro;TZ-405;freigegeben;GU (Gretsch-Unitas);Roto NX;1990;2321;922;Nein;Nein;100%;geringfügiger Mangel
F-0404;Technisches Zentrum;3. Obergeschoss;Sanitär;TZ-406;freigegeben;GU (Gretsch-Unitas);GU UNI-JET;2005;2170;1015;Ja;Nein;100%;Austausch empfohlen
F-0405;Technisches Zentrum;3. Obergeschoss;Sanitär;TZ-406;Spezialpruefung erforderlich;GU (Gretsch-Unitas);GU UNI-JET;2012;2345;1779;Nein;Nein;0%;
F-0406;Technisches Zentrum;3. Obergeschoss;Sanitär;TZ-406;Spezialpruefung erforderlich;Roto Frank;Winkhaus activPilot;2003;951;1453;Nein;Nein;0%;
F-0407;Technisches Zentrum;3. Obergeschoss;Sanitär;TZ-406;nicht begonnen;Weru;GU UNI-JET;1990;1541;1402;Nein;Nein;0%;
F-0408;Technisches Zentrum;3. Obergeschoss;Lager;TZ-407;fachlich geprueft;Schüco;GU UNI-JET;1985;780;1526;Nein;Nein;100%;erheblicher Mangel
F-0409;Technisches Zentrum;3. Obergeschoss;Lager;TZ-407;in Bearbeitung;GU (Gretsch-Unitas);GU UNI-JET;2015;1332;1383;Nein;Nein;29%;
F-0410;Technisches Zentrum;3. Obergeschoss;Lager;TZ-407;fachlich geprueft;GU (Gretsch-Unitas);Roto NX;2015;2319;1500;Nein;Nein;100%;Gefahr im Verzug
F-0411;Technisches Zentrum;3. Obergeschoss;Lager;TZ-407;fachlich geprueft;Maco;GU UNI-JET;2015;2339;932;Nein;Nein;100%;
F-0412;Technisches Zentrum;3. Obergeschoss;Besprechungsraum;TZ-408;nicht zugaenglich;Maco;Winkhaus activPilot;2008;1120;1688;Nein;Nein;0%;
F-0413;Technisches Zentrum;3. Obergeschoss;Besprechungsraum;TZ-408;Spezialpruefung erforderlich;GU (Gretsch-Unitas);Roto NX;2000;865;1727;Nein;Nein;0%;
F-0414;Technisches Zentrum;3. Obergeschoss;Besprechungsraum;TZ-408;nicht begonnen;GU (Gretsch-Unitas);Roto NX;2015;2227;813;Nein;Nein;0%;
F-0415;Technisches Zentrum;4. Obergeschoss;Besprechungsraum;TZ-501;fachlich geprueft;GU (Gretsch-Unitas);Maco Multi-Matic;2010;1708;1784;Nein;Nein;100%;
F-0416;Technisches Zentrum;4. Obergeschoss;Besprechungsraum;TZ-501;fachlich geprueft;Maco;Maco Multi-Matic;2020;780;1851;Nein;Nein;100%;
F-0417;Technisches Zentrum;4. Obergeschoss;Besprechungsraum;TZ-501;nicht begonnen;Weru;Winkhaus activPilot;2005;695;1792;Nein;Nein;0%;
F-0418;Technisches Zentrum;4. Obergeschoss;Besprechungsraum;TZ-501;nicht zugaenglich;Winkhaus;Siegenia Titan AF;2010;1542;1389;Ja;Nein;0%;
F-0419;Technisches Zentrum;4. Obergeschoss;Druckerraum;TZ-502;nicht begonnen;Winkhaus;GU UNI-JET;1998;654;1057;Ja;Nein;0%;
F-0420;Technisches Zentrum;4. Obergeschoss;Poststelle;TZ-503;nicht begonnen;Roto Frank;Roto NT;2018;1782;861;Nein;Nein;0%;
F-0421;Technisches Zentrum;4. Obergeschoss;Poststelle;TZ-503;Pruefung abgeschlossen;Roto Frank;Siegenia Titan AF;2000;2166;1249;Nein;Nein;100%;ohne Beanstandung
F-0422;Technisches Zentrum;4. Obergeschoss;Poststelle;TZ-503;Pruefung abgeschlossen;GU (Gretsch-Unitas);GU UNI-JET;1995;1054;831;Nein;Nein;100%;
F-0423;Technisches Zentrum;4. Obergeschoss;Flur;TZ-504;nicht begonnen;Siegenia-Aubi;Schüco AvanTec;1990;1679;1908;Nein;Nein;0%;
F-0424;Technisches Zentrum;4. Obergeschoss;Flur;TZ-504;Pruefung abgeschlossen;Siegenia-Aubi;Roto NX;2010;909;923;Nein;Nein;100%;ohne Beanstandung
F-0425;Technisches Zentrum;4. Obergeschoss;Flur;TZ-504;Spezialpruefung erforderlich;Weru;Roto NT;1995;1977;1388;Ja;Ja;0%;
F-0426;Technisches Zentrum;4. Obergeschoss;Flur;TZ-504;in Bearbeitung;Maco;Roto NT;2012;814;1202;Nein;Nein;49%;
F-0427;Technisches Zentrum;4. Obergeschoss;Flur;TZ-504;freigegeben;GU (Gretsch-Unitas);GU UNI-JET;2010;2164;843;Nein;Nein;100%;geringfügiger Mangel
F-0428;Technisches Zentrum;4. Obergeschoss;Flur;TZ-504;Spezialpruefung erforderlich;Weru;Maco Multi-Matic;1995;827;1742;Nein;Nein;0%;
F-0429;Technisches Zentrum;4. Obergeschoss;Flur;TZ-504;in Bearbeitung;Weru;GU UNI-JET;2018;2126;1637;Nein;Nein;30%;
F-0430;Technisches Zentrum;4. Obergeschoss;Lager;TZ-505;fachlich geprueft;GU (Gretsch-Unitas);Roto NT;1992;764;1913;Nein;Nein;100%;geringfügiger Mangel
F-0431;Technisches Zentrum;4. Obergeschoss;Lager;TZ-505;Spezialpruefung erforderlich;Winkhaus;Winkhaus activPilot;2015;1747;1437;Nein;Nein;0%;
F-0432;Technisches Zentrum;4. Obergeschoss;Druckerraum;TZ-506;in Bearbeitung;Schüco;GU UNI-JET;2003;1018;974;Nein;Nein;79%;
F-0433;Technisches Zentrum;4. Obergeschoss;Druckerraum;TZ-506;in Bearbeitung;GU (Gretsch-Unitas);Maco Multi-Matic;2020;2036;1335;Nein;Nein;33%;
F-0434;Technisches Zentrum;4. Obergeschoss;Druckerraum;TZ-506;nicht begonnen;Roto Frank;GU UNI-JET;2018;1647;1802;Nein;Nein;0%;
F-0435;Technisches Zentrum;4. Obergeschoss;Serverraum;TZ-507;in Bearbeitung;Roto Frank;GU UNI-JET;2012;1348;1966;Nein;Nein;36%;
F-0436;Technisches Zentrum;4. Obergeschoss;Büro;TZ-508;Spezialpruefung erforderlich;Siegenia-Aubi;Roto NX;2010;1570;1443;Nein;Nein;0%;
F-0437;Technisches Zentrum;4. Obergeschoss;Büro;TZ-508;nicht begonnen;Winkhaus;Roto NX;2005;1813;1716;Nein;Nein;0%;
F-0438;Nebengebäude West;Untergeschoss;Bibliothek;NGW-001;nicht zugaenglich;Schüco;Winkhaus activPilot;1990;1323;1049;Nein;Nein;0%;
F-0439;Nebengebäude West;Untergeschoss;Bibliothek;NGW-001;Pruefung abgeschlossen;Schüco;GU UNI-JET;1990;1152;1320;Nein;Nein;100%;Austausch empfohlen
F-0440;Nebengebäude West;Untergeschoss;Bibliothek;NGW-001;nicht begonnen;Roto Frank;Siegenia Titan AF;2012;1814;1859;Nein;Nein;0%;
F-0441;Nebengebäude West;Untergeschoss;Bibliothek;NGW-002;in Bearbeitung;Schüco;Roto NT;2003;2038;1990;Nein;Nein;47%;
F-0442;Nebengebäude West;Untergeschoss;Bibliothek;NGW-002;nicht zugaenglich;Siegenia-Aubi;Roto NX;2008;1991;1167;Nein;Nein;0%;
F-0443;Nebengebäude West;Untergeschoss;Bibliothek;NGW-002;Pruefung abgeschlossen;Maco;Roto NX;1992;2059;2184;Nein;Nein;100%;
F-0444;Nebengebäude West;Untergeschoss;Bibliothek;NGW-002;Spezialpruefung erforderlich;Winkhaus;GU UNI-JET;1985;1876;1623;Nein;Nein;0%;
F-0445;Nebengebäude West;Untergeschoss;Besprechungsraum;NGW-003;Pruefung abgeschlossen;Siegenia-Aubi;Roto NX;2020;1896;1018;Ja;Nein;100%;geringfügiger Mangel
F-0446;Nebengebäude West;Untergeschoss;Besprechungsraum;NGW-003;Pruefung abgeschlossen;Winkhaus;Siegenia Titan AF;2020;1671;2091;Nein;Nein;100%;
F-0447;Nebengebäude West;Untergeschoss;Besprechungsraum;NGW-003;freigegeben;Maco;Roto NT;2020;1009;1514;Nein;Nein;100%;Austausch empfohlen
F-0448;Nebengebäude West;Untergeschoss;Teeküche;NGW-004;Spezialpruefung erforderlich;Maco;Roto NT;2003;1753;941;Nein;Nein;0%;
F-0449;Nebengebäude West;Untergeschoss;Teeküche;NGW-004;Spezialpruefung erforderlich;Maco;GU UNI-JET;1998;2389;1247;Nein;Nein;0%;
F-0450;Nebengebäude West;Untergeschoss;Teeküche;NGW-004;in Bearbeitung;Maco;Roto NX;2020;1950;1816;Nein;Nein;33%;
F-0451;Nebengebäude West;Untergeschoss;Teeküche;NGW-004;nicht zugaenglich;Weru;Siegenia Titan AF;2010;2124;1132;Nein;Nein;0%;
F-0452;Nebengebäude West;Untergeschoss;Flur;NGW-005;nicht begonnen;GU (Gretsch-Unitas);Roto NT;2018;1938;1843;Nein;Nein;0%;
F-0453;Nebengebäude West;Untergeschoss;Flur;NGW-005;nicht zugaenglich;GU (Gretsch-Unitas);Siegenia Titan AF;2020;602;1050;Nein;Nein;0%;
F-0454;Nebengebäude West;Untergeschoss;Flur;NGW-005;freigegeben;Siegenia-Aubi;Maco Multi-Matic;1998;733;1030;Ja;Nein;100%;geringfügiger Mangel
F-0455;Nebengebäude West;Untergeschoss;Büro;NGW-006;nicht begonnen;Maco;GU UNI-JET;2018;1078;1121;Nein;Nein;0%;
F-0456;Nebengebäude West;Untergeschoss;Büro;NGW-006;in Bearbeitung;Schüco;Roto NT;2018;2335;1170;Nein;Nein;51%;
F-0457;Nebengebäude West;Untergeschoss;Büro;NGW-006;in Bearbeitung;Maco;Roto NT;2020;1711;1285;Nein;Nein;24%;
F-0458;Nebengebäude West;Erdgeschoss;Teeküche;NGW-101;fachlich geprueft;Schüco;Winkhaus activPilot;1990;730;1886;Nein;Nein;100%;
F-0459;Nebengebäude West;Erdgeschoss;Teeküche;NGW-101;nicht begonnen;Schüco;Roto NT;2005;713;1239;Nein;Nein;0%;
F-0460;Nebengebäude West;Erdgeschoss;Serverraum;NGW-102;freigegeben;Maco;Roto NX;2010;1268;2120;Ja;Nein;100%;erheblicher Mangel
F-0461;Nebengebäude West;Erdgeschoss;Büro;NGW-103;in Bearbeitung;Winkhaus;Schüco AvanTec;2018;641;1152;Nein;Nein;57%;
F-0462;Nebengebäude West;Erdgeschoss;Büro;NGW-103;Spezialpruefung erforderlich;Siegenia-Aubi;Schüco AvanTec;1985;2348;918;Nein;Nein;0%;
F-0463;Nebengebäude West;Erdgeschoss;Teeküche;NGW-104;in Bearbeitung;Siegenia-Aubi;Winkhaus activPilot;2015;1823;1075;Ja;Nein;58%;
F-0464;Nebengebäude West;Erdgeschoss;Sanitär;NGW-105;Spezialpruefung erforderlich;Maco;Winkhaus activPilot;1985;993;1271;Nein;Nein;0%;
F-0465;Nebengebäude West;Erdgeschoss;Empfang;NGW-106;freigegeben;GU (Gretsch-Unitas);Siegenia Titan AF;1985;2000;1118;Nein;Nein;100%;
F-0466;Nebengebäude West;Erdgeschoss;Sanitär;NGW-107;Spezialpruefung erforderlich;Siegenia-Aubi;Roto NX;2005;2175;1397;Nein;Nein;0%;
F-0467;Nebengebäude West;Erdgeschoss;Poststelle;NGW-108;freigegeben;GU (Gretsch-Unitas);Winkhaus activPilot;2020;1723;2078;Nein;Nein;100%;
F-0468;Nebengebäude West;Erdgeschoss;Poststelle;NGW-108;nicht zugaenglich;Schüco;Roto NX;2000;1007;1803;Ja;Nein;0%;
F-0469;Nebengebäude West;Erdgeschoss;Poststelle;NGW-108;nicht zugaenglich;GU (Gretsch-Unitas);GU UNI-JET;1998;2301;2104;Nein;Nein;0%;
F-0470;Nebengebäude West;Erdgeschoss;Sanitär;NGW-109;nicht zugaenglich;Maco;Roto NX;1998;841;1586;Nein;Nein;0%;
F-0471;Nebengebäude West;Erdgeschoss;Sanitär;NGW-109;Spezialpruefung erforderlich;Maco;Schüco AvanTec;2000;1963;1218;Nein;Nein;0%;
F-0472;Nebengebäude West;Erdgeschoss;Sanitär;NGW-109;Spezialpruefung erforderlich;Roto Frank;Winkhaus activPilot;1992;1196;1938;Nein;Nein;0%;
F-0473;Nebengebäude West;Erdgeschoss;Druckerraum;NGW-110;in Bearbeitung;Winkhaus;Winkhaus activPilot;2018;1491;1957;Nein;Nein;58%;
